id	inchikey	target_id	moa	bioactivity_type	relation	value	unit	assay_type	assay_description	cell_line	concentration	concentration_unit	source_id	source_xref
3182	PLCITURFVJNAFH-GUQHISFFSA-N	17	inhibitor			30	nM	biochemical	Biochemical assay				848	mrk-990
3183	PLCITURFVJNAFH-GUQHISFFSA-N	17	inhibitor	IC50		519	nM	cell	Inhibition of methylation of Rme2/smBB (PRMT5) after 2 days of treatment				848	mrk-990
3184	NIQFZCJNEODJTE-CSIWTOAPSA-N	492	degrader (protac)			0.45	nM	biochemical	Biochemical assay performed using warhead TMX-4102				849	tmx-4153
3185	NIQFZCJNEODJTE-CSIWTOAPSA-N	492	degrader (protac)			42	nM	biochemical	Biochemical KdELECT assay | 42 ± 2 nM				849	tmx-4153
3186	NIQFZCJNEODJTE-CSIWTOAPSA-N	492	degrader (protac)	DC50		24	nM	cell	Target degradation assessed via Western Blot after 6h				849	tmx-4153
3187	NIQFZCJNEODJTE-CSIWTOAPSA-N	492	degrader (protac)	Dmax		91	%	cell	Target degradation assessed via Western Blot after 6 h				849	tmx-4153
3188	DYDFSGCLYIZSAQ-UHFFFAOYSA-N	517	inhibitor	IC50		27.6	nM	cell	NLRP-3 cell assay				850	jnj-79883960
3189	ANAOJSKQILNLRY-MWTRTKDXSA-N	531	negative allosteric modulator					biochemical					851	psfl1911
3190	ANAOJSKQILNLRY-MWTRTKDXSA-N	531	negative allosteric modulator	IC50		278	nM	cell	Patch Clamp assay				851	psfl1911
3191	FIFRHLLUVCAOIK-SJCJKPOMSA-N	248	inhibitor			3	nM	biochemical	Fluorescently labeled 5′-flap cleavage assay				852	msc778
3192	FIFRHLLUVCAOIK-SJCJKPOMSA-N	248	inhibitor			2.9	nM	binding	SPR				852	msc778
3193	FIFRHLLUVCAOIK-SJCJKPOMSA-N	248	inhibitor	EC50		31	nM	cell	NanoBRET				852	msc778
3194	FIFRHLLUVCAOIK-SJCJKPOMSA-N	248	inhibitor	EC50		210	nM	cell	Cell viability of BRCA2 KO DLD-1 colorectal cancer cells. (EC50 2300 nM against WT)				852	msc778
3195	MMHYOHYLSFWJJB-ZDUSSCGKSA-N	43	antagonist		<	3	nM	biochemical	Eurofins radio-displacement assay				853	bi-5121
3196	MMHYOHYLSFWJJB-ZDUSSCGKSA-N	43	antagonist	IC50		1.6	nM	cell	"OX1 ANTA IP1 assay
(Functional assay)"				853	bi-5121
3197	YPXUKPNZQTWCRR-UHFFFAOYSA-N	381	modulator			40	nM	biochemical	Fluorometric calcium mobilization assays (FLIPR)				854	jnj-7891118
3198	YPXUKPNZQTWCRR-UHFFFAOYSA-N	381	modulator			78	nM	binding	Radioligand displacement assay in rat hippocampal neuron membranes				854	jnj-7891118
3199	YPXUKPNZQTWCRR-UHFFFAOYSA-N	381	modulator	IC50		44	nM	cell	Voltage clamp assay				854	jnj-7891118
3200	DJOZFERTDDZPJO-UHFFFAOYSA-N	87	degrader (protac)			382.7	nM	biochemical	HTRF Kinase Binding Assay | 382.7 ± 7.2 nM				855	cps-021
3201	DJOZFERTDDZPJO-UHFFFAOYSA-N	87	degrader (protac)	DC50		500	nM	cell	CPS-021 degraded 72% of the PAK4 protein after 12 h incubation				855	cps-021
3202	DJOZFERTDDZPJO-UHFFFAOYSA-N	87	degrader (protac)	DC50		50	nM	cell	CPS-021 degraded 88% of the PAK4 protein after 12 h incubation				855	cps-021
3203	DJOZFERTDDZPJO-UHFFFAOYSA-N	87	degrader (protac)	Dmax		72	%	cell	Western blot after 12 h incubation (DC50 of 50 nM)				855	cps-021
3204	YOOKRVNCYQFKCT-UHFFFAOYSA-N	321	covalent inhibitor			40.71	nM	biochemical	TR-FRET assay (Kinact = 0.00283 s-1, Kinact/ KI = 69516 M-1s-1)				856	sm311
3205	YOOKRVNCYQFKCT-UHFFFAOYSA-N	321	covalent inhibitor			608	nM	binding	SPR noncovalent interaction with LIMK1/C349A				856	sm311
3206	YOOKRVNCYQFKCT-UHFFFAOYSA-N	321	covalent inhibitor	EC50		45	nM	cell	NanoBRET				856	sm311
3207	RGHSVQHKNJAFGR-QFIPXVFZSA-N	331	inhibitor			5	nM	biochemical	P5-P5′ assay				857	fah65e
3208	RGHSVQHKNJAFGR-QFIPXVFZSA-N	331	inhibitor	EC50		25	nM	cell	dose-dependent reduction in sAPPβ				857	fah65e
3209	RGHSVQHKNJAFGR-QFIPXVFZSA-N	331	inhibitor	% inhibition	>	90	%	cell	Cleavage of FL APP assay				857	fah65e
3210	XHMSDQXEIBTTBE-QFIPXVFZSA-N	613	inhibitor			109	nM	biochemical	Glutamate dehydrogenase (GDH) enzyme-coupled assay				858	pad-pf2
3211	XHMSDQXEIBTTBE-QFIPXVFZSA-N	628	inhibitor			28.5	nM	biochemical	Glutamate dehydrogenase (GDH) enzyme-coupled assay at 0.25 mM Ca2+				858	pad-pf2
3212	XHMSDQXEIBTTBE-QFIPXVFZSA-N	628	inhibitor			2.04	uM	biochemical	Thermal stabilisation assay				858	pad-pf2
3213	XHMSDQXEIBTTBE-QFIPXVFZSA-N	616	inhibitor			106	nM	biochemical	Glutamate dehydrogenase (GDH) enzyme-coupled assay				858	pad-pf2
3214	XHMSDQXEIBTTBE-QFIPXVFZSA-N	617	inhibitor			42.7	nM	biochemical	PAD4 fluorescence quenching (FQ) assay				858	pad-pf2
3215	XHMSDQXEIBTTBE-QFIPXVFZSA-N	617	inhibitor			24	nM	biochemical	Glutamate dehydrogenase (GDH) enzyme-coupled assay at 0.25 mM Ca2+				858	pad-pf2
3216	XHMSDQXEIBTTBE-QFIPXVFZSA-N	617	inhibitor			1.95	uM	biochemical	thermal stabilisation assay				858	pad-pf2
3217	XHMSDQXEIBTTBE-QFIPXVFZSA-N	617	inhibitor	IC50		1000	nM	cell	PAD-mediated citrullination in neutrophils				858	pad-pf2
3218	FFUVDKANSJZSAK-JDXGNMNLSA-N	47	molecular glue			10	nM	binding	Isothermal Titration Calorimetry (ITC)				859	bio-2007817
3219	FFUVDKANSJZSAK-JDXGNMNLSA-N	47	molecular glue			150	nM	biochemical	Parkin autoubiquitination assays				859	bio-2007817
3220	FFUVDKANSJZSAK-JDXGNMNLSA-N	47	molecular glue					biochemical	2D NMR with 15N-labeled R0RB:2×pUb showing that BIO-2007817 binds at the same location as BIO-1975900 for which a crystal stricture has been obtained.				859	bio-2007817
3221	FFUVDKANSJZSAK-JDXGNMNLSA-N	47	molecular glue	% activation		50	%	cell	Organelle assay measuring parkin ubiquitination of the mitochondrial protein mitofusin-2 (Mfn2)				859	bio-2007817
3222	XRAUKWUDYSUHJM-LLVKDONJSA-N	406	covalent inhibitor					biochemical	Covalent adduct formation to the BTB domain of KEAP1				860	keap1-in-23
3223	XRAUKWUDYSUHJM-LLVKDONJSA-N	406	covalent inhibitor	EC50		136	nM	cell	U2OS─Translocation Assay				860	keap1-in-23
3224	XRAUKWUDYSUHJM-LLVKDONJSA-N	406	covalent inhibitor	EC50		68	nM	cell	HepG2─Gene Reporter Assay				860	keap1-in-23
3225	IYFKRANQUJUTKF-UHFFFAOYSA-N	247	degrader (protac)			1161	nM	binding	Label-free fluorescence polarization (FP) assay | 1161 ± 255 nM				861	alphasyn-protac-2b
