inchikey	smiles	name
FPOHNWQLNRZRFC-ZHACJKMWSA-N	Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1	Panobinostat
KGDMFBRXTHKRPA-GRCJMCHGSA-N	O=C(/C=C/c1ccc(C(=O)N/N=C/c2ccc(O)c(O)c2O)cc1)NO	Pandacostat
PTJGLFIIZFVFJV-UHFFFAOYSA-N	O=C(CCCCCCC(=O)Nc1cccnc1)NO	Pyroxamide
MUTBJZVSRNUIHA-UHFFFAOYSA-N	O=C(NO)c1cnc(N2CCN(S(=O)(=O)c3ccc4ccccc4c3)CC2)nc1	R306465
IDQPVOFTURLJPT-UHFFFAOYSA-N	O=C(CCCCCCC(=O)NO)NO	SBHA
GYKLFBYWXZYSOW-UHFFFAOYSA-N	CCCC(=O)OCOC(=O)C(C)(C)C	Pivanex
LTUGYAOMCKNTGG-UHFFFAOYSA-N	COc1ccccc1C(=O)Nc1cc2c(cc1N1CCCCC1)n(C)c(=O)n2C	GSK-5959
MIGJEXKBUJPKJF-UHFFFAOYSA-N	CC(=O)n1c2c(c3ccccc31)CCCC2=O	MS7972
RFTSSZJZXOSICM-GRSHGNNSSA-N	COC1=CC(c2cc3ccccc3[nH]2)=N/C1=C\c1[nH]c(C)cc1C	Obatoclax
QBKSWRVVCFFDOT-UHFFFAOYSA-N	Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O	Gossypol
KLDXJTOLSGUMSJ-JGWLITMVSA-N	O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12	AT-101
UIFFUZWRFRDZJC-SBOOETFBSA-N	CCCCCC[C@H]1C(=O)O[C@H](C)[C@H](NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CC(C)C	Antimycin A
PRDFBSVERLRRMY-UHFFFAOYSA-N	CCOc1ccc(-c2nc3cc(-c4nc5cc(N6CCN(C)CC6)ccc5[nH]4)ccc3[nH]2)cc1	BXI-72
RGGFUBMUOVFZEF-LDRVEFRDSA-N	Cc1cs/c(=N\C2CCCCC2)n1/N=C/c1ccc(O)c(O)c1O	MIM1
COHIEJLWRGREHV-XFFZJAGNSA-N	CC(C)C(C(=O)O)N1C(=O)/C(=C/c2ccc(Br)cc2)SC1=S	BH3I-1
YUYJEQHNWKQNBT-UHFFFAOYSA-N	Oc1c(F)cc(-c2cnccc2-c2ccc(N3CCOCC3)cc2)cc1F	LJI308
OUKYUETWWIPKQR-UHFFFAOYSA-N	CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1	Saracatinib
WUUGFSXJNOTRMR-IOSLPCCCSA-N	CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	5-methyl thioadenosine
LMXOHSDXUQEUSF-YECHIGJVSA-N	Nc1ncnc2c1ncn2[C@@H]1O[C@H](C[C@@H](N)CC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	Sinefungin
IRSFLDGTOHBADP-UHFFFAOYSA-N	CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O	Embelin
VCMMXZQDRFWYSE-UHFFFAOYSA-N	CC1=CC(=O)c2c(O)cccc2C1=O	Plumbagin
