chembl_id	inchikey
CHEMBL4530740	JZTTUZXIQIRVAB-FZEVHQGJSA-N
CHEMBL5187116	ZLGNYFOIDAVMHY-MPKOGUQCSA-N
CHEMBL1230468	XMBSZPZJLPTFMV-UHFFFAOYSA-N
CHEMBL5285282	FYICDSWKKFSYOM-UHFFFAOYSA-N
CHEMBL4100295	QYDASSGXBXGRBS-CKJXQJPGSA-N
CHEMBL4643852	YQOLEILXOBUDMU-KRWDZBQOSA-N
CHEMBL5440568	JNSLBXJNVHYNNW-CXNSMIOJSA-N
CHEMBL2024567	GACOFEKSDCOVMV-RRYXBOBMSA-N
CHEMBL4455124	SQNZDYHMCMIGGV-TZPPCSJFSA-N
CHEMBL4630644	RNQODBQYMXYMCT-SJORKVTESA-N
CHEMBL4303292	RFZQYGBLRIKROZ-PCLIKHOPSA-N
CHEMBL4456085	WNEILUNVMHVMPH-UHFFFAOYSA-N
CHEMBL1235786	NMJMRSQTDLRCRQ-UHFFFAOYSA-N
CHEMBL4450504	YDNOHCOYQVZOMC-UHFFFAOYSA-N
CHEMBL4086276	OFWWWKWUCDUISA-UHFFFAOYSA-N
CHEMBL3337894	CDQRIIUMNLMHRH-UHFFFAOYSA-N
CHEMBL2152070	CHEANNSDVJOIBS-MHZLTWQESA-N
CHEMBL4091991	SFMJNHNUOVADRW-UHFFFAOYSA-N
CHEMBL3421914	AOZPVMOOEJAZGK-UHFFFAOYSA-N
CHEMBL3939958	UMRRDXVUROEIKJ-JCXBGQGISA-N
CHEMBL2386346	QBGKPEROWUKSBK-QPPIDDCLSA-N
CHEMBL5199076	ARBRHWRTXPWZGN-UHFFFAOYSA-N
CHEMBL4745523	PXVFFBGSTYQHRO-REQIQPEASA-N
CHEMBL4455580	LIMCHOLAKDUZDS-XARBDFOFSA-N
CHEMBL1236095	JFOAJUGFHDCBJJ-UHFFFAOYSA-N
CHEMBL2180727	FNYGWXSATBUBER-UHFFFAOYSA-N
CHEMBL59030	NAXSRXHZFIBFMI-UHFFFAOYSA-N
CHEMBL3128042	RZXMIHOUHYSGJO-UHFFFAOYSA-N
CHEMBL3623630	ZDBWLRLGUBSLPG-FDHYQTMZSA-N
CHEMBL4080906	KSGZCKSNTAJOJS-DZBMUNJRSA-N
CHEMBL3137331	FWLMVFUGMHIOAA-UHFFFAOYSA-N
