inchikey	organism	dose_value	dose_unit	route	dose_raw	source_db	source
YSVWFFNZZGLLAI-XNTOLAJGSA-N	Rat	30	nM/kg		30 nM/kg	Chemical Probes Portal	KISS1-305
JYTIXGYXBIBOMN-UHFFFAOYSA-N	Other	3	mg/kg	PO	IV: 3 mg/Kg PO: 10 mg/kg (M) IV: 5 mg/kg / PO: 10 mg/kg (R), IV: 0.5 mg/kg / PO: 2 mg/kg (D)	Chemical Probes Portal	Nidufexor
JYTIXGYXBIBOMN-UHFFFAOYSA-N	Other	10	mg/kg	IV	IV: 3 mg/Kg PO: 10 mg/kg (M) IV: 5 mg/kg / PO: 10 mg/kg (R), IV: 0.5 mg/kg / PO: 2 mg/kg (D)	Chemical Probes Portal	Nidufexor
JYTIXGYXBIBOMN-UHFFFAOYSA-N	Other	5	mg/kg	PO	IV: 3 mg/Kg PO: 10 mg/kg (M) IV: 5 mg/kg / PO: 10 mg/kg (R), IV: 0.5 mg/kg / PO: 2 mg/kg (D)	Chemical Probes Portal	Nidufexor
JYTIXGYXBIBOMN-UHFFFAOYSA-N	Other	10	mg/kg	IV	IV: 3 mg/Kg PO: 10 mg/kg (M) IV: 5 mg/kg / PO: 10 mg/kg (R), IV: 0.5 mg/kg / PO: 2 mg/kg (D)	Chemical Probes Portal	Nidufexor
JYTIXGYXBIBOMN-UHFFFAOYSA-N	Other	0.5	mg/kg	PO	IV: 3 mg/Kg PO: 10 mg/kg (M) IV: 5 mg/kg / PO: 10 mg/kg (R), IV: 0.5 mg/kg / PO: 2 mg/kg (D)	Chemical Probes Portal	Nidufexor
JYTIXGYXBIBOMN-UHFFFAOYSA-N	Other	2	mg/kg		IV: 3 mg/Kg PO: 10 mg/kg (M) IV: 5 mg/kg / PO: 10 mg/kg (R), IV: 0.5 mg/kg / PO: 2 mg/kg (D)	Chemical Probes Portal	Nidufexor
KLHOCHQJHXNKAS-UHFFFAOYSA-N	Mouse	20	mg/kg		20 mg/kg	Chemical Probes Portal	CCT251236
IFRGXKKQHBVPCQ-UHFFFAOYSA-N	Mouse	2	mg/kg		2-60 mg/Kg	Chemical Probes Portal	Onalespib
BKLJDIJJOOQUFG-UHFFFAOYSA-N	Rat	0.3	mg/kg		0.3 mg/Kg	Chemical Probes Portal	BAY-876
BKLJDIJJOOQUFG-UHFFFAOYSA-N	Rat	0.6	mg/kg		0.6 mg/Kg	Chemical Probes Portal	BAY-876
BKLJDIJJOOQUFG-UHFFFAOYSA-N	Dog	0.1	mg/kg		0.1 mg/Kg	Chemical Probes Portal	BAY-876
BKLJDIJJOOQUFG-UHFFFAOYSA-N	Dog	0.2	mg/kg		0.2 mg/Kg	Chemical Probes Portal	BAY-876
FYQFEJFTCLKXTQ-UHFFFAOYSA-N	Mouse	60	mg/kg/day		30, 60 mg/Kg/day	Chemical Probes Portal	SR9243
RRELDGDKULRRDM-UHFFFAOYSA-N	Mouse	0.1	mg/kg	IV	0.1 mg/kg IV, 1 mg/kg PO	Chemical Probes Portal	TP-021
RRELDGDKULRRDM-UHFFFAOYSA-N	Mouse	1	mg/kg	PO	0.1 mg/kg IV, 1 mg/kg PO	Chemical Probes Portal	TP-021
IYHHRZBKXXKDDY-UHFFFAOYSA-N	Mouse	1	mg/kg	IV	1 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	BI 605906
