inchikey	portal_path	published_date	pains	toxicophore	cansar_id	rating_in_cell	rating_in_organism	rating_count	reference	source_db	source	xref_id
QBKSWRVVCFFDOT-UHFFFAOYSA-N	unsuitables/gossypol	2017-03-02	Yes	Yes	754444	0	0	0		Chemical Probes Portal	Gossypol	https://www.chemicalprobes.org/
KLDXJTOLSGUMSJ-JGWLITMVSA-N	unsuitables/101	2017-03-02	No	No	56967	0	0	0		Chemical Probes Portal	AT-101	https://www.chemicalprobes.org/
UIFFUZWRFRDZJC-SBOOETFBSA-N	unsuitables/antimycin	2017-03-02	No	Yes	793808	0	0	0		Chemical Probes Portal	Antimycin A	https://www.chemicalprobes.org/
PRDFBSVERLRRMY-UHFFFAOYSA-N	unsuitables/bxi-72	2017-03-02	No	No	565476	0	0	0		Chemical Probes Portal	BXI-72	https://www.chemicalprobes.org/
RGGFUBMUOVFZEF-LDRVEFRDSA-N	unsuitables/mim1	2017-03-02	Yes	Yes	1556735	0	0	0		Chemical Probes Portal	MIM1	https://www.chemicalprobes.org/
COHIEJLWRGREHV-XFFZJAGNSA-N	unsuitables/bh3i-1	2017-03-02	Yes	Yes	1320297	0	0	0		Chemical Probes Portal	BH3I-1	https://www.chemicalprobes.org/
YUYJEQHNWKQNBT-UHFFFAOYSA-N	unsuitables/lji308	2017-03-02	No	No	1868394	0	0	0		Chemical Probes Portal	LJI308	https://www.chemicalprobes.org/
OUKYUETWWIPKQR-UHFFFAOYSA-N	unsuitables/saracatinib	2017-03-02	No	No	766308	0	0	0		Chemical Probes Portal	Saracatinib	https://www.chemicalprobes.org/
WUUGFSXJNOTRMR-IOSLPCCCSA-N	unsuitables/5-methyl-thioadenosine	2017-03-07	No	No	1171526	0	0	0		Chemical Probes Portal	5-methyl thioadenosine	https://www.chemicalprobes.org/
LMXOHSDXUQEUSF-YECHIGJVSA-N	unsuitables/sinefungin	2017-03-07	No	No	1823000	0	0	0		Chemical Probes Portal	Sinefungin	https://www.chemicalprobes.org/
IRSFLDGTOHBADP-UHFFFAOYSA-N	unsuitables/embelin	2017-03-07	Yes	Yes	1241811	0	0	0		Chemical Probes Portal	Embelin	https://www.chemicalprobes.org/
VCMMXZQDRFWYSE-UHFFFAOYSA-N	unsuitables/plumbagin	2017-03-07	Yes	Yes	30007	0	0	0		Chemical Probes Portal	Plumbagin	https://www.chemicalprobes.org/
FECGNJPYVFEKOD-VMPITWQZSA-N	unsuitables/resminostat	2017-03-07	No	Yes	1583363	0	0	0		Chemical Probes Portal	Resminostat	https://www.chemicalprobes.org/
YALNUENQHAQXEA-UHFFFAOYSA-N	unsuitables/givinostat	2017-03-07	No	Yes	350456	0	0	0		Chemical Probes Portal	Givinostat	https://www.chemicalprobes.org/
BWDQBBCUWLSASG-MDZDMXLPSA-N	unsuitables/dacinostat	2017-03-07	No	Yes	1902688	0	0	0		Chemical Probes Portal	Dacinostat	https://www.chemicalprobes.org/
IVTKCTFTVKYWIQ-WEVVVXLNSA-N	unsuitables/oxamflatin	2017-03-07	No	Yes	1496674	0	0	0		Chemical Probes Portal	Oxamflatin	https://www.chemicalprobes.org/
MAUCONCHVWBMHK-UHFFFAOYSA-N	unsuitables/abexinostat	2017-03-07	No	Yes	256658	0	0	0		Chemical Probes Portal	Abexinostat	https://www.chemicalprobes.org/
