resource	xref	inchikey
canSAR	2879016	WEGLOYDTDILXDA-OAHLLOKOSA-N
canSAR	3180904	CSJYMAFXYMYNCK-UHFFFAOYSA-N
canSAR	3224326	ILHNIWOZZKIBNW-UHFFFAOYSA-N
canSAR	1471596	OAMLIJKKGZLNHE-UHFFFAOYSA-N
canSAR	165276	JTCAGRAKUAAYDY-OAHLLOKOSA-N
canSAR	894483	FSWFYCYPTDLKON-CMJOXMDJSA-N
canSAR	3455496	SKZQFKBIJUXXCG-INIZCTEOSA-N
canSAR	3455498	TVGAHWWPABTBCX-UHFFFAOYSA-N
canSAR	2863034	FRBRZGLUFOZRGD-JVPBZIDWSA-N
canSAR	3151671	PXQATVYJKMMHAU-UHFFFAOYSA-N
canSAR	171437	YNFDIGJKJPNFFD-SJORKVTESA-N
canSAR	473137	PCJVXTDIDUMIRR-QGZVFWFLSA-N
canSAR	3550538	RPHDOVLXDYWDGF-UHFFFAOYSA-N
canSAR	2849398	KVJFJJXCBRSCDY-UHFFFAOYSA-N
canSAR	213469	PGIVGIFOWOVINL-GOSISDBHSA-N
canSAR	3319397	WZQLVEPIBAOOGF-RMMWZPCPSA-N
canSAR	2972672	QZZCUOVXHPAQRQ-UHFFFAOYSA-N
canSAR	3189556	JZTTUZXIQIRVAB-FZEVHQGJSA-N
canSAR	3312894	ZLGNYFOIDAVMHY-MPKOGUQCSA-N
canSAR	1324570	QULDDKSCVCJTPV-UHFFFAOYSA-N
