inchikey	property	ordinal	value	source_db	source
XIRQUXILNXIWDI-UHFFFAOYSA-N	control_compound	0	TL13-110	Chemical Probes Portal	
HZHUKQLWLNDVDZ-IBDVCRJISA-N	control_compound	0	SKI-73N	Chemical Probes Portal	
XPEJZXWPKDAYFX-UHFFFAOYSA-N	control_compound	0	canSAR3148937	Chemical Probes Portal	
SYRVEVZSXHRXIX-KRWDZBQOSA-N	control_compound	0	CANSAR4213492	Chemical Probes Portal	
WAFNVKVWBPXGHK-QDUSTFBWSA-N	control_compound	0	canSAR136067	Chemical Probes Portal	
BUIJBFHGUQJYSD-XZOQPEGZSA-N	control_compound	0	CANSAR4208957	Chemical Probes Portal	
GRKYJLSMFYQHMP-APASRLOHSA-N	control_compound	0	CANSAR4199061	Chemical Probes Portal	
ZOJWMCDSTRTTOW-UHFFFAOYSA-N	control_compound	0	ZXH-7035	Chemical Probes Portal	
BPLPIBNWDLPUKP-UHFFFAOYSA-N	control_compound	0	CANSAR3550554	Chemical Probes Portal	
CRLZRGXSDBAEFD-UHFFFAOYSA-N	control_compound	0	JP3001	Chemical Probes Portal	
KPABJHHKKJIDGX-JOCHJYFZSA-N	control_compound	0	N-[(1S)-2-(dimethylamino)-1-phenyl-ethyl]-6,6-dimethyl-3-[[4-(propanoylamino)benzoyl]amino]-1,4-dihydropyrrolo[3,4-c]pyrazole-5-carboxamide	Chemical Probes Portal	
