target_key	source_db	property	ordinal	value
P25440	Chemical Probes Portal	class	0	Epigenetic
P25440	Chemical Probes Portal	subClass	0	Bromodomain
P25774	Chemical Probes Portal	class	0	Enzyme
P25774	Chemical Probes Portal	subClass	0	Peptidase
P25929	Chemical Probes Portal	class	0	GPCR
P25929	Chemical Probes Portal	subClass	0	Neuropeptide Y receptor
P26358	Chemical Probes Portal	class	0	Epigenetic
P26358	Chemical Probes Portal	subClass	0	Methyltransferase
P27361	Chemical Probes Portal	class	0	Kinase
P27361	Chemical Probes Portal	subClass	0	CMGC
P28065	Chemical Probes Portal	class	0	Protein metabolism
P28065	Chemical Probes Portal	subClass	0	Proteasome subunit
P28221	Chemical Probes Portal	class	0	GPCR
P28221	Chemical Probes Portal	subClass	0	Serotonin Receptor
P28223	Chemical Probes Portal	class	0	GPCR
P28223	Chemical Probes Portal	subClass	0	Serotonin Receptor
P28335	Chemical Probes Portal	class	0	GPCR
P28335	Chemical Probes Portal	subClass	0	Serotonin Receptor
P28347	Chemical Probes Portal	class	0	Epigenetic
P28347	Chemical Probes Portal	subClass	0	Transcription factor
P28347	Chemical Probes Portal	subClass	1	Transcription Factor
P28482	Chemical Probes Portal	class	0	Kinase
P28482	Chemical Probes Portal	subClass	0	CMGC
P28702	Chemical Probes Portal	class	0	NHR
P28702	Chemical Probes Portal	subClass	0	Retinoic acid receptor
P28799	Chemical Probes Portal	class	0	Glycoprotein
P28799	Chemical Probes Portal	subClass	0	Granulin family
P28845	Chemical Probes Portal	class	0	Enzyme
P28845	Chemical Probes Portal	subClass	0	Dehydrogenase
P29274	Chemical Probes Portal	class	0	GPCR
P29274	Chemical Probes Portal	subClass	0	Adenosine receptor
P29275	Chemical Probes Portal	class	0	GPCR
P29275	Chemical Probes Portal	subClass	0	Adenosine receptor
P29371	Chemical Probes Portal	class	0	GPCR
P29371	Chemical Probes Portal	subClass	0	NK-3 Receptor
P29597	Chemical Probes Portal	class	0	Kinase
P29597	Chemical Probes Portal	subClass	0	Tyrosine Kinase
P29597	Chemical Probes Portal	subClass	1	Tyrosine kinase
P30291	Chemical Probes Portal	class	0	Kinase
P30291	Chemical Probes Portal	subClass	0	Ser/Thr kinase
P30291	Chemical Probes Portal	subClass	1	Ser/Thr Protein Kinase
P30419	Chemical Probes Portal	class	0	Other post-translational modification
P30419	Chemical Probes Portal	subClass	0	Acyltransferase
P30518	Chemical Probes Portal	class	0	GPCR
P30518	Chemical Probes Portal	subClass	0	Vasorepressin receptor
P30530	Chemical Probes Portal	class	0	Kinase
P30530	Chemical Probes Portal	subClass	0	Tyrosine kinase
P30559	Chemical Probes Portal	class	0	GPCR
P30559	Chemical Probes Portal	subClass	0	Oxytocin receptor
P30968	Chemical Probes Portal	class	0	GPCR
P30968	Chemical Probes Portal	subClass	0	GnRH receptor
P30968	Chemical Probes Portal	subClass	1	Hormone Receptor
P31153	Chemical Probes Portal	class	0	Other post-translational modification
P31153	Chemical Probes Portal	subClass	0	Methionine Adenosyltransferase
P31639	Chemical Probes Portal	class	0	Transporter
P31639	Chemical Probes Portal	subClass	0	Solute carrier
P31644	Chemical Probes Portal	class	0	Ion Channel
P31645	Chemical Probes Portal	class	0	Transporter
P31645	Chemical Probes Portal	subClass	0	Serotonin transporter
P31749	Chemical Probes Portal	class	0	Kinase
P31749	Chemical Probes Portal	subClass	0	AGC
P31751	Chemical Probes Portal	class	0	Kinase
P31751	Chemical Probes Portal	subClass	0	AGC
P31939	Chemical Probes Portal	class	0	Other
